dataset,row,beg,end
train,0,1648,3192
train,8,1640,3192
train,16,1640,3200
train,24,1640,3200
train,32,1632,3208
train,40,1632,3208
train,48,1624,3216
train,56,1624,3224
train,64,1616,3224
train,72,1616,3232
train,80,1616,3232
train,88,1608,3240
train,96,1608,3240
train,104,1600,3248
train,112,1600,3248
train,120,1592,3256
train,128,1592,3264
train,136,1592,3264
train,144,1584,3272
train,152,1584,3272
train,160,1576,3280
train,168,1576,3280
train,176,1568,3288
train,184,1568,3296
train,192,1568,3296
train,200,1560,3304
train,208,1560,3304
train,216,1552,3312
train,224,1552,3312
train,232,1544,3320
train,240,1544,3320
train,248,1544,3328
train,256,1536,3336
train,264,1536,3336
train,272,1528,3344
train,280,1528,3344
train,288,1520,3352
train,296,1520,3352
train,304,1520,3360
train,312,1512,3368
train,320,1512,3368
train,328,1504,3376
train,336,1504,3376
train,344,1496,3384
train,352,1496,3384
train,360,1488,3392
train,368,1488,3392
train,376,1488,3400
train,384,1480,3408
train,392,1480,3408
train,400,1472,3416
train,408,1472,3416
train,416,1464,3424
train,424,1464,3424
train,432,1464,3432
train,440,1456,3440
train,448,1456,3440
train,456,1448,3448
train,464,1448,3448
train,472,1440,3456
train,480,1440,3456
train,488,1440,3464
train,496,1432,3464
train,504,1432,3472
train,1536,984,4048
train,1544,984,4056
train,1552,976,4056
train,1560,976,4064
train,1568,968,4072
train,1576,968,4072
train,1584,968,4080
train,1592,960,4080
train,1600,960,4088
train,1608,952,4088
train,1616,952,4096
train,1624,944,4104
train,1632,944,4104
train,1640,944,4112
train,1648,936,4112
train,1656,936,4120
train,1664,928,4120
train,1672,928,4128
train,1680,920,4128
train,1688,920,4136
train,1696,920,4144
train,1704,912,4144
train,1712,912,4152
train,1720,904,4152
train,1728,904,4160
train,1736,896,4160
train,1744,896,4168
train,1752,896,4176
train,1760,888,4176
train,1768,888,4184
train,1776,880,4184
train,1784,880,4192
train,1792,872,4192
train,1800,872,4200
train,1808,872,4200
train,1816,864,4208
train,1824,864,4216
train,1832,856,4216
train,1840,856,4224
train,1848,848,4224
train,1856,848,4232
train,1864,848,4232
train,1872,840,4240
train,1880,840,4240
train,1888,832,4248
train,1896,832,4256
train,1904,824,4256
train,1912,824,4264
train,1920,824,4264
train,1928,816,4272
train,1936,816,4272
train,1944,808,4280
train,1952,808,4288
train,1960,800,4288
train,1968,800,4296
train,1976,800,4296
train,1984,792,4304
train,1992,792,4304
train,2000,784,4312
train,2008,784,4312
train,2016,776,4320
train,2024,776,4328
train,2032,776,4328
train,2040,768,4336
train,2048,768,4336
train,2056,760,4344
train,2064,760,4344
train,2072,752,4352
train,2080,752,4360
train,2088,752,4360
train,2096,744,4368
train,2104,744,4368
train,2112,736,4376
train,2120,736,4376
train,2128,728,4384
train,2136,728,4384
train,2144,720,4392
train,2152,720,4400
train,2160,720,4400
train,2168,712,4408
train,2176,712,4408
train,2184,704,4416
train,2192,704,4416
train,2200,696,4424
train,2208,696,4424
train,2216,696,4432
train,2224,688,4440
train,2232,688,4440
train,2240,680,4448
train,2248,680,4448
train,2256,672,4456
train,2264,672,4456
train,2272,672,4464
train,2280,664,4472
train,2288,664,4472
train,2296,656,4480
train,2304,656,4480
train,2312,648,4488
train,2320,648,4488
train,2328,648,4496
train,2336,640,4496
train,2344,640,4504
train,2352,632,4512
train,2360,632,4512
train,2368,624,4520
train,2376,624,4520
train,2384,624,4528
train,2392,616,4528
train,2400,616,4536
train,2408,608,4544
train,2416,608,4544
train,2424,600,4552
train,2432,600,4552
train,2440,600,4560
train,2448,592,4560
train,2456,592,4568
train,2464,584,4568
train,2472,584,4576
train,2480,576,4584
train,2488,576,4584
train,2496,576,4592
train,2504,568,4592
train,2512,568,4600
train,2520,560,4600
train,2528,560,4608
train,2536,552,4608
train,2544,552,4616
train,2552,552,4624
train,2560,544,4624
train,2568,544,4632
train,2576,536,4632
train,2584,536,4640
train,2592,528,4640
train,2600,528,4648
train,2608,528,4656
train,2616,520,4656
train,2624,520,4664
train,2632,512,4664
train,2640,512,4672
train,2648,504,4672
train,2656,504,4680
train,2664,504,4680
train,2672,496,4688
train,2680,496,4696
train,2688,488,4696
train,2696,488,4704
train,2704,480,4704
train,2712,480,4712
train,2720,480,4712
train,2728,472,4720
train,2736,472,4728
train,2744,464,4728
train,2752,464,4736
train,2760,456,4736
train,2768,456,4744
train,2776,448,4744
train,2784,448,4752
train,2792,448,4752
train,2800,440,4760
train,2808,440,4768
train,2816,432,4768
train,2824,432,4776
train,2832,424,4776
train,2840,424,4784
train,2848,424,4784
train,2856,416,4792
train,2864,416,4792
train,2872,408,4800
train,2880,408,4808
train,2888,400,4808
train,2896,400,4816
train,2904,400,4816
train,2912,392,4824
train,2920,392,4824
train,2928,384,4832
train,2936,384,4840
train,2944,376,4840
train,2952,376,4848
train,2960,376,4848
train,2968,368,4856
train,2976,368,4856
train,2984,360,4864
train,2992,360,4864
train,3000,352,4872
train,3008,352,4880
train,3016,352,4880
train,3024,344,4888
train,3032,344,4888
train,3040,336,4896
train,3048,336,4896
train,3056,328,4904
train,3064,328,4912
train,3072,328,4912
train,3080,320,4920
train,3088,320,4920
train,3096,312,4928
train,3104,312,4928
train,3112,304,4936
train,3120,304,4936
train,3128,304,4944
train,3136,296,4952
train,3144,296,4952
train,3152,288,4960
train,3160,288,4960
train,3168,280,4968
train,3176,280,4968
train,3184,280,4976
train,3192,272,4984
train,3200,272,4984
train,3208,264,4992
train,3216,264,4992
train,3224,256,5000
train,3232,256,5000
train,3240,256,5008
train,3248,248,5008
train,3256,248,5016
train,3264,240,5024
train,3272,240,5024
train,3280,232,5032
train,3288,232,5032
train,3296,232,5040
train,3304,224,5040
train,3312,224,5048
train,3320,216,5048
train,3328,216,5056
train,3336,208,5064
train,3344,208,5064
train,3352,200,5072
train,3360,200,5072
train,3368,200,5080
train,3376,192,5080
train,3384,192,5088
train,3392,184,5096
train,3400,184,5096
train,3408,176,5104
train,3416,176,5104
train,3424,176,5112
train,3432,168,5112
train,3440,168,5120
train,3448,160,5120
train,3456,160,5128
train,3464,152,5136
train,3472,152,5136
train,3480,152,5144
train,3488,144,5144
train,3496,144,5152
train,3504,136,5152
train,3512,136,5160
train,3520,128,5168
train,3528,128,5168
train,3536,128,5176
train,3544,120,5176
train,3552,120,5184
train,3560,112,5184
train,3568,112,5192
train,3576,104,5192
train,4608,0,5464
train,4616,0,5464
train,4624,0,5464
train,4632,0,5464
train,4640,0,5464
train,4648,0,5464
train,4656,0,5464
train,4664,0,5464
train,4672,0,5464
train,4680,0,5464
train,4688,0,5464
train,4696,0,5464
train,4704,0,5464
train,4712,0,5464
train,4720,0,5464
train,4728,0,5464
train,4736,0,5464
train,4744,0,5464
train,4752,0,5464
train,4760,0,5464
train,4768,0,5464
train,4776,0,5472
train,4784,0,5472
train,4792,0,5480
train,4800,0,5480
train,4808,0,5480
train,4816,0,5488
train,4824,0,5488
train,4832,0,5496
train,4840,0,5496
train,4848,0,5504
train,4856,0,5504
train,4864,0,5512
train,4872,0,5512
train,4880,0,5520
train,4888,0,5520
train,4896,0,5528
train,4904,0,5528
train,4912,0,5536
